gameid,date,home_team,away_team,goal,primary_assist,secondary_assist,game_situation,game_situation_general,gf_team,gf_team_game_number,ga_team,ga_team_game_number,GF_names,GA_names,GF_skaters,GA_skaters,GF1_name,GF2_name,GF3_name,GF4_name,GF5_name,GF6_name,GA1_name,GA2_name,GA3_name,GA4_name,GA5_name,GA6_name
442011,2020-01-04,Leksands IF,Skellefteå AIK,Tom Pyatt,Arvid Lundberg,Jonathan Pudas,5v5,EV,Skellefteå AIK,30,Leksands IF,30,Joakim LindströmTom PyattAdam PetterssonGustaf LindvallGKArvid LundbergJonathan Pudas,Filip JohanssonMattias RitolaMarek HrivikJanne JuvonenGKPhilip SamuelssonSpencer Abbott,5,5,Joakim Lindström,Tom Pyatt,Adam Pettersson,Gustaf LindvallGK,Arvid Lundberg,Jonathan Pudas,Filip Johansson,Mattias Ritola,Marek Hrivik,Janne JuvonenGK,Philip Samuelsson,Spencer Abbott
442091,2020-01-09,Leksands IF,Linköping HC,Joe Whitney,Broc Little,,5v5,EV,Linköping HC,31,Leksands IF,31,Joe WhitneyHampus LarssonJaakko RissanenAdam GinningBroc LittleJonas GustavssonGK,Johan FranssonMattias RitolaPatrik ZackrissonJanne JuvonenGKPhilip SamuelssonSpencer Abbott,5,5,Joe Whitney,Hampus Larsson,Jaakko Rissanen,Adam Ginning,Broc Little,Jonas GustavssonGK,Johan Fransson,Mattias Ritola,Patrik Zackrisson,Janne JuvonenGK,Philip Samuelsson,Spencer Abbott
441844,2019-09-28,Rögle BK,Leksands IF,Martin Karlsson,Jonas Ahnelöv,Jon Knuts,5v5,EV,Leksands IF,6,Rögle BK,6,Johan FranssonJon KnutsDavid RundqvistJanne JuvonenGKJonas AhnelövMartin Karlsson,Daniel BertovMattias SjögrenNils HöglanderNiklas HanssonRoman WillGKDominik Bokk,5,5,Johan Fransson,Jon Knuts,David Rundqvist,Janne JuvonenGK,Jonas Ahnelöv,Martin Karlsson,Daniel Bertov,Mattias Sjögren,Nils Höglander,Niklas Hansson,Roman WillGK,Dominik Bokk
441887,2019-10-24,Brynäs IF,Rögle BK,Daniel Mannberg,Greg Scott,Niclas Lundgren,5v5,EV,Brynäs IF,12,Rögle BK,13,Niclas LundgrenLukas KilströmEmil MolinSamuel ErssonGKGreg ScottDaniel Mannberg,Kodie CurranNiklas HanssonAdam EdströmErik AnderssonChristoffer RifalkGKDominik Bokk,5,5,Niclas Lundgren,Lukas Kilström,Emil Molin,Samuel ErssonGK,Greg Scott,Daniel Mannberg,Kodie Curran,Niklas Hansson,Adam Edström,Erik Andersson,Christoffer RifalkGK,Dominik Bokk
441902,2019-10-31,Luleå HF,Rögle BK,Daniel Sondell,Jack Connolly,Austin Farley,5v5,EV,Luleå HF,15,Rögle BK,16,Jack ConnollyJesper SellgrenJoel LassinanttiGKDaniel WidingDaniel SondellAustin Farley,Craig SchiraJakob BondessonHampus GustafssonNils HöglanderChristoffer RifalkGKDominik Bokk,5,5,Jack Connolly,Jesper Sellgren,Joel LassinanttiGK,Daniel Widing,Daniel Sondell,Austin Farley,Craig Schira,Jakob Bondesson,Hampus Gustafsson,Nils Höglander,Christoffer RifalkGK,Dominik Bokk
441918,2019-11-14,HV 71,Rögle BK,Joakim Andersson,,,5v5,EV,HV 71,17,Rögle BK,18,Didrik StrömbergEmil JohanssonJoakim AnderssonJonas GunnarssonGKJuuso IkonenChristoffer Törngren,Erlend LesundHampus GustafssonSamuel JonssonAdam EdströmRoman WillGKDominik Bokk,5,5,Didrik Strömberg,Emil Johansson,Joakim Andersson,Jonas GunnarssonGK,Juuso Ikonen,Christoffer Törngren,Erlend Lesund,Hampus Gustafsson,Samuel Jonsson,Adam Edström,Roman WillGK,Dominik Bokk
441879,2019-11-21,Rögle BK,Färjestad BK,Carl Jakobsson,Lukas Ekeståhl-Jonsson,Per Åslund,5v5,EV,Färjestad BK,19,Rögle BK,20,Lukas Ekeståhl-JonssonPer ÅslundCarl JakobssonJohan RynoVojtech MozikArvid HolmGK,Erlend LesundSimon RyforsSamuel JonssonAdam EdströmChristoffer RifalkGKDominik Bokk,5,5,Lukas Ekeståhl-Jonsson,Per Åslund,Carl Jakobsson,Johan Ryno,Vojtech Mozik,Arvid HolmGK,Erlend Lesund,Simon Ryfors,Samuel Jonsson,Adam Edström,Christoffer RifalkGK,Dominik Bokk
442097,2020-01-11,Rögle BK,Leksands IF,Jonas Ahnelöv,Daniel Olsson-Trkulja,Marek Hrivik,5v5,EV,Leksands IF,32,Rögle BK,32,Daniel Olsson-TrkuljaSebastian WännströmMarek HrivikMattias GöranssonJanne JuvonenGKJonas Ahnelöv,Daniel BertovSamuel JohannessonSimon RyforsNils HöglanderChristoffer RifalkGKDominik Bokk,5,5,Daniel Olsson-Trkulja,Sebastian Wännström,Marek Hrivik,Mattias Göransson,Janne JuvonenGK,Jonas Ahnelöv,Daniel Bertov,Samuel Johannesson,Simon Ryfors,Nils Höglander,Christoffer RifalkGK,Dominik Bokk
442103,2020-01-16,Rögle BK,Luleå HF,Noel Gunler,Isac Brännström,,5v5,EV,Luleå HF,33,Rögle BK,33,Noel GunlerIsac BrännströmJoonas JalvantiNils LundkvistDavid RautioGKArttu Ilomäki,Kodie CurranCraig SchiraSimon RyforsNils HöglanderRoman WillGKDominik Bokk,5,5,Noel Gunler,Isac Brännström,Joonas Jalvanti,Nils Lundkvist,David RautioGK,Arttu Ilomäki,Kodie Curran,Craig Schira,Simon Ryfors,Nils Höglander,Roman WillGK,Dominik Bokk
442111,2020-01-18,Örebro HK,Rögle BK,Shane Harper,Mathias Bromé,Kristian Näkyvä,6v5,Goalie Pulled,Örebro HK,34,Rögle BK,34,Shane HarperDaniel Muzito-BagendaAaron IrvingKristian NäkyväMathias BroméRyan Stoa,Kodie CurranSamuel JohannessonSimon RyforsDennis EverbergRoman WillGKDominik Bokk,6,5,Shane Harper,Daniel Muzito-Bagenda,Aaron Irving,Kristian Näkyvä,Mathias Bromé,Ryan Stoa,Kodie Curran,Samuel Johannesson,Simon Ryfors,Dennis Everberg,Roman WillGK,Dominik Bokk
441824,2019-09-21,Brynäs IF,Färjestad BK,Per Åslund,Martin Johansson,Gustav Rydahl,5v5,EV,Färjestad BK,4,Brynäs IF,3,Gustav RydahlPer ÅslundJonathon BlumMartin JohanssonLinus ArnessonMarkus SvenssonGK,Lukas KilströmEmil ForslundSamuel ErssonGKJacob BlomqvistEric NorinDaniel Mannberg,5,5,Gustav Rydahl,Per Åslund,Jonathon Blum,Martin Johansson,Linus Arnesson,Markus SvenssonGK,Lukas Kilström,Emil Forslund,Samuel ErssonGK,Jacob Blomqvist,Eric Norin,Daniel Mannberg
