date,homeTeam,awayTeam,combinedTeams,Venue
1/17/19,Mora IK,Rögle BK,Mora IK-Rögle BK,Jalas Arena
1/17/19,Linköping HC,Örebro HK,Linköping HC-Örebro HK,Saab Arena
1/17/19,HV 71,Luleå HF,HV 71-Luleå HF,Kinnarps Arena
1/17/19,Frölunda HC,Färjestad BK,Frölunda HC-Färjestad BK,Scandinavium
1/18/19,Brynäs IF,Djurgårdens IF,Brynäs IF-Djurgårdens IF,Gavlerinken Arena
1/19/19,Luleå HF,Färjestad BK,Luleå HF-Färjestad BK,Coop Norrbotten Arena
1/19/19,Örebro HK,Mora IK,Örebro HK-Mora IK,Behrn Arena
1/19/19,Rögle BK,Linköping HC,Rögle BK-Linköping HC,Lindab Arena
1/19/19,HV 71,Skellefteå AIK,HV 71-Skellefteå AIK,Kinnarps Arena
1/19/19,Timrå IK,IF Malmö Redhawks,Timrå IK-IF Malmö Redhawks,NHK Arena
1/19/19,Växjö Lakers HC,Frölunda HC,Växjö Lakers HC-Frölunda HC,Vida Arena
1/19/19,Djurgårdens IF,Brynäs IF,Djurgårdens IF-Brynäs IF,"Hovet, Johanneshov"
1/22/19,IF Malmö Redhawks,Djurgårdens IF,IF Malmö Redhawks-Djurgårdens IF,Malmö Arena
1/23/19,Örebro HK,Växjö Lakers HC,Örebro HK-Växjö Lakers HC,Behrn Arena
1/23/19,Färjestad BK,Rögle BK,Färjestad BK-Rögle BK,Löfbergs Arena
1/24/19,Luleå HF,Skellefteå AIK,Luleå HF-Skellefteå AIK,Coop Norrbotten Arena
1/24/19,Mora IK,Timrå IK,Mora IK-Timrå IK,Jalas Arena
1/24/19,Brynäs IF,HV 71,Brynäs IF-HV 71,Gavlerinken Arena
1/24/19,Djurgårdens IF,IF Malmö Redhawks,Djurgårdens IF-IF Malmö Redhawks,"Hovet, Johanneshov"
1/24/19,Linköping HC,Frölunda HC,Linköping HC-Frölunda HC,Saab Arena
1/26/19,IF Malmö Redhawks,Mora IK,IF Malmö Redhawks-Mora IK,Malmö Arena
1/26/19,Frölunda HC,Djurgårdens IF,Frölunda HC-Djurgårdens IF,Scandinavium
1/26/19,Skellefteå AIK,Örebro HK,Skellefteå AIK-Örebro HK,Skellefteå Kraft Arena
1/26/19,Rögle BK,Luleå HF,Rögle BK-Luleå HF,Lindab Arena
1/26/19,Brynäs IF,Linköping HC,Brynäs IF-Linköping HC,Gavlerinken Arena
1/26/19,HV 71,Växjö Lakers HC,HV 71-Växjö Lakers HC,Kinnarps Arena
1/26/19,Timrå IK,Färjestad BK,Timrå IK-Färjestad BK,NHK Arena
1/29/19,Örebro HK,Frölunda HC,Örebro HK-Frölunda HC,Behrn Arena
1/29/19,Brynäs IF,Mora IK,Brynäs IF-Mora IK,Gavlerinken Arena
1/29/19,Djurgårdens IF,Färjestad BK,Djurgårdens IF-Färjestad BK,"Hovet, Johanneshov"
1/29/19,HV 71,Timrå IK,HV 71-Timrå IK,Kinnarps Arena
1/29/19,IF Malmö Redhawks,Luleå HF,IF Malmö Redhawks-Luleå HF,Malmö Arena
1/29/19,Skellefteå AIK,Rögle BK,Skellefteå AIK-Rögle BK,Skellefteå Kraft Arena
1/29/19,Växjö Lakers HC,Linköping HC,Växjö Lakers HC-Linköping HC,Vida Arena
1/31/19,Luleå HF,Brynäs IF,Luleå HF-Brynäs IF,Coop Norrbotten Arena
1/31/19,Mora IK,HV 71,Mora IK-HV 71,Jalas Arena
1/31/19,Färjestad BK,Örebro HK,Färjestad BK-Örebro HK,Löfbergs Arena
1/31/19,Timrå IK,Djurgårdens IF,Timrå IK-Djurgårdens IF,NHK Arena
1/31/19,Rögle BK,Växjö Lakers HC,Rögle BK-Växjö Lakers HC,Lindab Arena
1/31/19,Linköping HC,Skellefteå AIK,Linköping HC-Skellefteå AIK,Saab Arena
2/2/19,Örebro HK,Timrå IK,Örebro HK-Timrå IK,Behrn Arena
2/2/19,Brynäs IF,IF Malmö Redhawks,Brynäs IF-IF Malmö Redhawks,Gavlerinken Arena
2/2/19,Färjestad BK,Mora IK,Färjestad BK-Mora IK,Löfbergs Arena
2/2/19,Luleå HF,Djurgårdens IF,Luleå HF-Djurgårdens IF,Coop Norrbotten Arena
2/2/19,Skellefteå AIK,Linköping HC,Skellefteå AIK-Linköping HC,Skellefteå Kraft Arena
2/2/19,Växjö Lakers HC,Rögle BK,Växjö Lakers HC-Rögle BK,Vida Arena
2/2/19,HV 71,Frölunda HC,HV 71-Frölunda HC,Kinnarps Arena
2/12/19,Mora IK,Linköping HC,Mora IK-Linköping HC,Jalas Arena
2/12/19,Brynäs IF,Luleå HF,Brynäs IF-Luleå HF,Gavlerinken Arena
