date,homeTeam,awayTeam,combinedTeams,Venue
10/11/18,Linköping HC,Timrå IK,Linköping HC-Timrå IK,Saab Arena
10/13/18,Luleå HF,Rögle BK,Luleå HF-Rögle BK,Coop Norrbotten Arena
10/13/18,Djurgårdens IF,Timrå IK,Djurgårdens IF-Timrå IK,"Hovet, Johanneshov"
10/13/18,Färjestad BK,Frölunda HC,Färjestad BK-Frölunda HC,Löfbergs Arena
10/13/18,IF Malmö Redhawks,Växjö Lakers HC,IF Malmö Redhawks-Växjö Lakers HC,Malmö Arena
10/13/18,Mora IK,Skellefteå AIK,Mora IK-Skellefteå AIK,Jalas Arena
10/13/18,HV 71,Örebro HK,HV 71-Örebro HK,Kinnarps Arena
10/18/18,Skellefteå AIK,Djurgårdens IF,Skellefteå AIK-Djurgårdens IF,Skellefteå Kraft Arena
10/18/18,Örebro HK,Färjestad BK,Örebro HK-Färjestad BK,Behrn Arena
10/18/18,Växjö Lakers HC,HV 71,Växjö Lakers HC-HV 71,Vida Arena
10/18/18,IF Malmö Redhawks,Brynäs IF,IF Malmö Redhawks-Brynäs IF,Malmö Arena
10/18/18,Timrå IK,Rögle BK,Timrå IK-Rögle BK,NHK Arena
10/18/18,Frölunda HC,Luleå HF,Frölunda HC-Luleå HF,Scandinavium
10/20/18,Luleå HF,IF Malmö Redhawks,Luleå HF-IF Malmö Redhawks,Coop Norrbotten Arena
10/20/18,Rögle BK,Timrå IK,Rögle BK-Timrå IK,Lindab Arena
10/20/18,Frölunda HC,HV 71,Frölunda HC-HV 71,Scandinavium
10/20/18,Färjestad BK,Djurgårdens IF,Färjestad BK-Djurgårdens IF,Löfbergs Arena
10/20/18,Mora IK,Växjö Lakers HC,Mora IK-Växjö Lakers HC,Jalas Arena
10/20/18,Brynäs IF,Örebro HK,Brynäs IF-Örebro HK,Gavlerinken Arena
10/21/18,Linköping HC,Skellefteå AIK,Linköping HC-Skellefteå AIK,Saab Arena
10/23/18,Linköping HC,Frölunda HC,Linköping HC-Frölunda HC,Saab Arena
10/24/18,Djurgårdens IF,Brynäs IF,Djurgårdens IF-Brynäs IF,"Hovet, Johanneshov"
10/25/18,Skellefteå AIK,Frölunda HC,Skellefteå AIK-Frölunda HC,Skellefteå Kraft Arena
10/25/18,Örebro HK,Timrå IK,Örebro HK-Timrå IK,Behrn Arena
10/25/18,Växjö Lakers HC,Luleå HF,Växjö Lakers HC-Luleå HF,Vida Arena
10/25/18,Färjestad BK,Rögle BK,Färjestad BK-Rögle BK,Löfbergs Arena
10/25/18,HV 71,Mora IK,HV 71-Mora IK,Kinnarps Arena
10/25/18,IF Malmö Redhawks,Linköping HC,IF Malmö Redhawks-Linköping HC,Malmö Arena
10/27/18,IF Malmö Redhawks,Frölunda HC,IF Malmö Redhawks-Frölunda HC,Malmö Arena
10/27/18,Örebro HK,Skellefteå AIK,Örebro HK-Skellefteå AIK,Behrn Arena
10/27/18,Djurgårdens IF,Växjö Lakers HC,Djurgårdens IF-Växjö Lakers HC,"Hovet, Johanneshov"
10/27/18,Rögle BK,Linköping HC,Rögle BK-Linköping HC,Lindab Arena
10/27/18,Timrå IK,HV 71,Timrå IK-HV 71,NHK Arena
10/27/18,Luleå HF,Mora IK,Luleå HF-Mora IK,Coop Norrbotten Arena
10/27/18,Brynäs IF,Färjestad BK,Brynäs IF-Färjestad BK,Gavlerinken Arena
10/30/18,Skellefteå AIK,IF Malmö Redhawks,Skellefteå AIK-IF Malmö Redhawks,Skellefteå Kraft Arena
10/30/18,Mora IK,Rögle BK,Mora IK-Rögle BK,Jalas Arena
10/30/18,Växjö Lakers HC,Färjestad BK,Växjö Lakers HC-Färjestad BK,Vida Arena
10/30/18,Linköping HC,Djurgårdens IF,Linköping HC-Djurgårdens IF,Saab Arena
10/30/18,HV 71,Brynäs IF,HV 71-Brynäs IF,Kinnarps Arena
10/30/18,Timrå IK,Luleå HF,Timrå IK-Luleå HF,NHK Arena
10/30/18,Frölunda HC,Örebro HK,Frölunda HC-Örebro HK,Scandinavium
11/1/18,Luleå HF,Timrå IK,Luleå HF-Timrå IK,Coop Norrbotten Arena
11/1/18,Örebro HK,HV 71,Örebro HK-HV 71,Behrn Arena
11/1/18,Brynäs IF,Mora IK,Brynäs IF-Mora IK,Gavlerinken Arena
11/1/18,Djurgårdens IF,Linköping HC,Djurgårdens IF-Linköping HC,"Hovet, Johanneshov"
11/1/18,Rögle BK,Växjö Lakers HC,Rögle BK-Växjö Lakers HC,Lindab Arena
11/1/18,Färjestad BK,Skellefteå AIK,Färjestad BK-Skellefteå AIK,Löfbergs Arena
11/1/18,Frölunda HC,IF Malmö Redhawks,Frölunda HC-IF Malmö Redhawks,Scandinavium
11/3/18,Djurgårdens IF,Rögle BK,Djurgårdens IF-Rögle BK,"Hovet, Johanneshov"
11/3/18,Växjö Lakers HC,Mora IK,Växjö Lakers HC-Mora IK,Vida Arena
11/3/18,Färjestad BK,IF Malmö Redhawks,Färjestad BK-IF Malmö Redhawks,Löfbergs Arena
11/3/18,HV 71,Timrå IK,HV 71-Timrå IK,Kinnarps Arena
11/3/18,Frölunda HC,Linköping HC,Frölunda HC-Linköping HC,Scandinavium
11/3/18,Skellefteå AIK,Luleå HF,Skellefteå AIK-Luleå HF,Skellefteå Kraft Arena
11/3/18,Örebro HK,Brynäs IF,Örebro HK-Brynäs IF,Behrn Arena
11/13/18,Luleå HF,HV 71,Luleå HF-HV 71,Coop Norrbotten Arena
11/13/18,Mora IK,Örebro HK,Mora IK-Örebro HK,Jalas Arena
11/13/18,Linköping HC,Växjö Lakers HC,Linköping HC-Växjö Lakers HC,Saab Arena
11/13/18,Timrå IK,Djurgårdens IF,Timrå IK-Djurgårdens IF,NHK Arena
11/13/18,IF Malmö Redhawks,Brynäs IF,IF Malmö Redhawks-Brynäs IF,Malmö Arena
11/13/18,Frölunda HC,Skellefteå AIK,Frölunda HC-Skellefteå AIK,Scandinavium
11/13/18,Rögle BK,Färjestad BK,Rögle BK-Färjestad BK,Lindab Arena
11/15/18,Skellefteå AIK,IF Malmö Redhawks,Skellefteå AIK-IF Malmö Redhawks,Skellefteå Kraft Arena
11/15/18,Örebro HK,Rögle BK,Örebro HK-Rögle BK,Behrn Arena
11/15/18,Brynäs IF,Färjestad BK,Brynäs IF-Färjestad BK,Gavlerinken Arena
